1	35	46
2	50	58
3	3	9
5	72	81
6	84	91
7	108	115
8	121	125
9	131	139
10	144	149
11	97	104
12	63	71
13	188	199
15	171	180
16	154	167
17	216	224
18	256	264
19	241	252
20	272	280
21	229	237
22	368	376
24	333	346
26	307	313
27	292	301
28	359	367
29	285	291
30	394	402
31	412	416
32	417	423
33	432	438
34	452	459
35	446	451
36	403	408
37	465	471
39	515	518
40	525	530
41	534	542
42	489	494
43	502	509
44	658	663
45	713	721
46	722	731
48	693	702
49	750	768
50	778	796
51	804	809
52	819	828
53	810	815
54	835	845
55	874	877
56	878	887
57	917	925
58	908	913
59	933	941
60	945	958
61	961	969
62	1012	1026
63	987	991
64	992	997
65	971	980
66	1037	1043
67	1044	1052
68	1060	1067
71	1103	1109
70	1127	1133
72	1140	1147
73	1140	1154
74	1134	1139
75	1203	1210
76	1203	1222
77	1227	1233
78	1186	1196
79	1364	1370
80	1298	1305
81	1306	1312
82	1320	1323
83	1324	1334
84	1341	1348
85	1349	1360
86	1291	1297
87	1421	1427
88	1432	1436
89	1445	1450
90	1394	1401
93	1475	1483
94	1486	1494
92	1456	1463
96	1520	1523
97	1524	1530
98	1549	1557
101	1612	1619
102	1573	1580
103	1624	1631
108	1885	1893
109	1900	1906
110	1942	1946
112	1927	1935
113	1912	1918
115	1868	1874
116	1951	1963
117	1970	1976
118	2023	2033
121	2122	2132
122	2039	2047
123	2053	2064
124	2065	2073
126	2152	2164
127	2165	2172
128	2173	2180
129	2182	2191
130	2196	2209
131	2234	2241
132	2242	2258
133	2260	2273
134	2291	2308
135	2312	2322
136	2326	2339
137	368	388
4	16	29
14	188	211
23	465	481
38	741	746
114	1868	1884
111	1912	1926
138	2291	2298
139	2282	2287
140	2242	2249
141	778	785
142	750	757
143	333	358
25	706	712
69	664	673
144	683	692
47	733	740
145	846	855
91	1402	1413
146	1500	1507
95	1500	1516
99	1588	1595
147	1588	1604
100	1632	1640
104	2014	2022
105	2086	2092
106	2078	2082
107	2101	2109
119	2326	2333
